구분,가중치_물류량,cluster3_가중치,cluster4_가중치
강남구,528831.09552666,0.5016070864929516,0.3961802615781018
송파구,437601.8954430516,0.5016070864929516,0.3961802615781018
강서구,340591.55565833626,0.5016070864929516,0.3961802615781018
서초구,241947.33621659732,0.30279253238627024,0.2581068117587574
관악구,210505.69719182883,0.30279253238627024,0.2581068117587574
노원구,180549.6672551029,0.30279253238627024,0.2581068117587574
마포구,179754.5473148136,0.30279253238627024,0.2581068117587574
영등포구,163870.39426380335,0.30279253238627024,0.2581068117587574
강동구,160054.4285139371,0.30279253238627024,0.2581068117587574
성북구,155043.05122610676,0.30279253238627024,0.2581068117587574
은평구,144622.85763228653,0.30279253238627024,0.20611939522469436
양천구,141579.47573373606,0.30279253238627024,0.20611939522469436
구로구,137864.28277489214,0.30279253238627024,0.20611939522469436
동작구,124361.62708489854,0.30279253238627024,0.20611939522469436
성동구,120780.89450619456,0.30279253238627024,0.20611939522469436
광진구,110847.77669058596,0.30279253238627024,0.20611939522469436
동대문구,103191.34959370874,0.1956003811207782,0.20611939522469436
중랑구,94167.33281200792,0.1956003811207782,0.20611939522469436
서대문구,83703.90406520909,0.1956003811207782,0.20611939522469436
금천구,75858.59980698946,0.1956003811207782,0.13959353143844644
용산구,63435.34629890531,0.1956003811207782,0.13959353143844644
도봉구,62091.22239424261,0.1956003811207782,0.13959353143844644
강북구,54674.113120907394,0.1956003811207782,0.13959353143844644
중구,47542.34590942934,0.1956003811207782,0.13959353143844644
종로구,26100.08199506696,0.1956003811207782,0.13959353143844644
