구분,개별_가중치_물류량,cluster3_가중치_물류량,cluster4_가중치_물류량
송파구,27280566.0,27280566.0,27280566.0
강남구,25985226.490772564,26502514.0,26502514.0
강서구,21486808.823973373,23643868.0,23643868.0
성북구,17286587.833135486,15527095.5,17255778.799
마포구,14448651.639916327,13889272.5,15435611.505
금천구,12364282.822083473,12587898.0,13989350.644
성동구,10890041.174889114,11604933.0,12896948.874
서초구,10304469.255141333,11197660.5,12444333.369
영등포구,9721696.23252635,10781713.5,9581349.397
동대문구,8600974.117830466,6632463.0,8841073.179
구로구,7804807.892118754,6217953.0,8288531.348999999
용산구,7754127.220975021,6190944.0,8252528.352
관악구,7531270.70106444,6071239.0,8092961.586999999
중랑구,7382260.834669763,5990325.0,7985103.225
노원구,7178990.191821952,5878777.0,7836409.740999999
강동구,7088353.999188007,5828592.0,7769513.136
중구,6785720.867706992,5658953.0,7543384.348999999
광진구,6740784.996194913,5633485.0,7509435.505
양천구,6465961.085507093,5476088.0,7299625.304
은평구,6003151.014955839,5204325.0,6937365.225
동작구,5644696.747258722,4987602.0,4987602.0
도봉구,4950664.315495917,4550659.0,4550659.0
서대문구,4412956.419175312,4194272.0,4194272.0
종로구,3864501.663492416,3811981.0,3811981.0
강북구,3674677.0,3674677.0,3674677.0
