구분,가중치_물류량
송파구,27280566.0
강남구,25985226.490772564
강서구,21486808.823973373
성북구,17286587.833135486
마포구,14448651.639916327
금천구,12364282.822083473
성동구,10890041.174889114
서초구,10304469.255141333
영등포구,9721696.23252635
동대문구,8600974.117830466
구로구,7804807.892118754
용산구,7754127.220975021
관악구,7531270.70106444
중랑구,7382260.834669763
노원구,7178990.191821952
강동구,7088353.999188007
중구,6785720.867706992
광진구,6740784.996194913
양천구,6465961.085507093
은평구,6003151.014955839
동작구,5644696.747258722
도봉구,4950664.315495917
서대문구,4412956.419175312
종로구,3864501.663492416
강북구,3674677.0
