구분,방법1_가중치_물류량,방법2_cluster3_가중치_물류량,방법2_cluster4_가중치_물류량
강남구,528831.09552666,3443026.025616755,2719377.3536694753
송파구,437601.8954430516,3131997.5291375895,2473720.235954311
강서구,340591.55565833626,2763113.671302327,2182367.6868687286
서초구,241947.33621659735,1405800.6274749897,1198334.4340313824
관악구,210505.69719182883,1311279.3966026297,1117762.52113871
노원구,180549.66725510286,1214399.714695513,1035180.2142892485
마포구,179754.5473148136,1211722.725916686,1032898.2919664893
영등포구,163870.39426380335,1156947.2540154771,986206.5116125183
강동구,160054.4285139371,1143397.2881911916,974656.2317863139
성북구,155043.05122610676,1125354.789563891,959276.4211940449
은평구,144622.85763228653,1086880.4564362296,739870.1037857353
양천구,141579.47573373606,1075383.7267740553,732043.956468449
구로구,137864.28277489214,1061180.33466488,722375.307877249
동작구,124361.62708489854,1007874.6177158743,686088.6067061272
성동구,120780.89450619457,993258.822177589,676139.2234986312
광진구,110847.77669058596,951539.461480344,647739.6809857823
동대문구,103191.34959370874,593074.8299864024,624969.2591565199
중랑구,94167.33281200791,566549.6579029949,597017.6140894943
서대문구,83703.90406520909,534146.8899672889,562872.2873153619
금천구,75858.59980698946,508499.1811935892,362899.0701840262
용산구,63435.34629890531,465000.5904380449,331855.5626950873
도봉구,62091.22239424261,460047.7931876857,328320.9148855344
강북구,54674.113120907394,431696.6915465156,308087.6700647202
중구,47542.34590942934,402557.711570191,287292.14249927195
종로구,26100.081995066957,298269.45636802574,212865.05934223547
